部位,ICD-10,性別,診断年,粗率,0-4歳,5-9歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85歳以上
肝臓,C22,女,2000,19.5 ,0.8 ,0.0 ,0.0 ,0.1 ,0.3 ,0.2 ,0.3 ,0.6 ,1.7 ,2.8 ,5.6 ,13.1 ,32.1 ,59.5 ,81.5 ,84.3 ,96.6 ,99.5 
肝臓,C22,女,2001,19.6 ,0.8 ,0.0 ,0.0 ,0.1 ,0.2 ,0.1 ,0.4 ,0.4 ,1.6 ,2.6 ,5.3 ,13.5 ,29.6 ,57.9 ,82.1 ,86.5 ,91.6 ,93.5 
肝臓,C22,女,2002,19.5 ,0.5 ,0.0 ,0.2 ,0.2 ,0.2 ,0.5 ,0.2 ,0.2 ,1.3 ,2.0 ,4.8 ,12.9 ,26.2 ,53.0 ,74.2 ,84.4 ,102.2 ,101.3 
肝臓,C22,女,2003,20.7 ,0.0 ,0.0 ,0.4 ,0.0 ,0.0 ,0.3 ,0.3 ,0.2 ,0.9 ,1.7 ,4.9 ,12.4 ,22.1 ,51.1 ,79.6 ,94.4 ,112.4 ,104.7 
肝臓,C22,女,2004,20.4 ,0.5 ,0.0 ,0.0 ,0.1 ,0.0 ,0.1 ,0.6 ,0.2 ,1.1 ,2.0 ,7.6 ,12.8 ,23.5 ,53.5 ,77.1 ,87.3 ,91.4 ,95.4 
肝臓,C22,女,2005,20.6 ,0.8 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.6 ,0.4 ,2.0 ,1.6 ,5.7 ,13.7 ,25.6 ,46.5 ,71.4 ,92.7 ,94.1 ,91.7 
肝臓,C22,女,2006,21.4 ,0.1 ,0.0 ,0.0 ,0.0 ,0.2 ,0.3 ,0.8 ,0.9 ,0.9 ,2.8 ,5.1 ,10.5 ,25.0 ,42.6 ,76.6 ,94.7 ,97.1 ,100.7 
肝臓,C22,女,2007,23.2 ,0.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,1.2 ,2.0 ,2.4 ,5.7 ,12.4 ,24.2 ,47.9 ,82.7 ,93.8 ,99.6 ,108.2 
肝臓,C22,女,2008,25.0 ,0.7 ,0.2 ,0.0 ,0.1 ,0.3 ,0.0 ,0.3 ,1.6 ,1.0 ,3.0 ,6.1 ,12.8 ,23.3 ,49.0 ,80.4 ,105.0 ,118.6 ,108.3 
肝臓,C22,女,2009,24.6 ,0.4 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,0.7 ,0.8 ,1.8 ,2.6 ,4.7 ,12.3 ,24.0 ,42.2 ,79.3 ,100.8 ,109.0 ,113.0 
肝臓,C22,女,2010,24.4 ,1.4 ,0.1 ,0.3 ,0.0 ,0.2 ,0.1 ,0.2 ,0.6 ,1.7 ,2.3 ,6.6 ,11.1 ,22.4 ,41.6 ,72.8 ,101.9 ,105.5 ,115.3 
肝臓,C22,女,2011,22.3 ,0.2 ,0.5 ,0.0 ,0.2 ,0.3 ,0.0 ,0.1 ,0.9 ,0.6 ,2.0 ,5.3 ,10.1 ,19.4 ,38.5 ,59.9 ,90.8 ,100.2 ,103.4 
胆嚢・胆管,C23-C24,男女計,1975,4.8 ,0.2 ,0.3 ,0.2 ,0.3 ,0.2 ,0.2 ,0.4 ,0.6 ,1.4 ,3.3 ,6.6 ,9.2 ,15.8 ,26.5 ,40.4 ,44.7 ,57.3 ,33.5 
胆嚢・胆管,C23-C24,男女計,1976,5.0 ,0.1 ,0.2 ,0.1 ,0.2 ,0.2 ,0.2 ,0.4 ,0.9 ,1.2 ,3.6 ,7.6 ,9.5 ,15.7 ,26.8 ,40.2 ,49.4 ,58.5 ,36.7 
胆嚢・胆管,C23-C24,男女計,1977,5.3 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.3 ,0.3 ,0.8 ,1.2 ,4.7 ,7.3 ,11.1 ,17.4 ,26.6 ,40.4 ,49.8 ,53.3 ,47.7 
胆嚢・胆管,C23-C24,男女計,1978,5.5 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.3 ,0.2 ,0.7 ,1.2 ,4.4 ,6.4 ,11.6 ,18.6 ,27.8 ,42.3 ,54.3 ,43.0 ,46.6 
胆嚢・胆管,C23-C24,男女計,1979,5.9 ,0.1 ,0.2 ,0.1 ,0.1 ,0.2 ,0.3 ,0.2 ,0.5 ,1.0 ,4.0 ,5.9 ,12.4 ,20.5 ,26.5 ,45.9 ,61.0 ,47.2 ,51.6 
胆嚢・胆管,C23-C24,男女計,1980,6.6 ,0.0 ,0.1 ,0.0 ,0.0 ,0.1 ,0.3 ,0.1 ,0.6 ,1.3 ,3.6 ,5.7 ,14.4 ,22.1 ,29.2 ,53.3 ,66.3 ,60.3 ,48.5 
胆嚢・胆管,C23-C24,男女計,1981,7.2 ,0.0 ,0.1 ,0.0 ,0.0 ,0.0 ,0.3 ,0.1 ,0.7 ,1.3 ,3.4 ,6.4 ,13.3 ,21.6 ,33.1 ,55.5 ,73.1 ,71.7 ,54.0 
胆嚢・胆管,C23-C24,男女計,1982,7.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.3 ,0.2 ,0.7 ,1.6 ,3.8 ,7.1 ,12.7 ,20.3 ,35.5 ,56.8 ,69.7 ,87.5 ,61.5 
胆嚢・胆管,C23-C24,男女計,1983,8.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.6 ,2.2 ,4.5 ,7.6 ,12.4 ,20.6 ,40.9 ,61.6 ,69.8 ,92.2 ,74.6 
胆嚢・胆管,C23-C24,男女計,1984,8.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.4 ,0.6 ,2.5 ,4.1 ,7.8 ,13.6 ,20.3 ,40.9 ,55.7 ,72.7 ,97.5 ,89.4 
胆嚢・胆管,C23-C24,男女計,1985,9.7 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.0 ,0.4 ,0.6 ,2.7 ,4.1 ,7.0 ,13.7 ,23.6 ,40.9 ,58.4 ,87.4 ,101.7 ,101.1 
胆嚢・胆管,C23-C24,男女計,1986,10.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.3 ,0.8 ,2.4 ,3.9 ,6.3 ,14.2 ,24.3 ,39.6 ,57.4 ,89.1 ,108.0 ,99.3 
胆嚢・胆管,C23-C24,男女計,1987,10.8 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.3 ,1.0 ,1.9 ,4.3 ,7.5 ,13.1 ,25.4 ,37.8 ,65.3 ,91.1 ,114.5 ,106.3 
胆嚢・胆管,C23-C24,男女計,1988,10.9 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.3 ,1.3 ,1.6 ,4.0 ,8.1 ,13.0 ,24.0 ,36.9 ,63.4 ,86.2 ,111.8 ,116.7 
胆嚢・胆管,C23-C24,男女計,1989,11.2 ,0.0 ,0.0 ,0.0 ,0.1 ,0.0 ,0.0 ,0.5 ,1.1 ,1.5 ,3.6 ,7.8 ,13.1 ,22.9 ,38.2 ,62.0 ,86.8 ,112.7 ,129.0 
胆嚢・胆管,C23-C24,男女計,1990,11.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.8 ,1.8 ,3.1 ,6.5 ,13.2 ,21.7 ,39.7 ,58.3 ,84.4 ,104.2 ,132.1 
胆嚢・胆管,C23-C24,男女計,1991,11.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.7 ,1.8 ,3.4 ,6.1 ,13.0 ,21.4 ,41.3 ,58.7 ,89.8 ,110.3 ,136.1 
胆嚢・胆管,C23-C24,男女計,1992,12.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.7 ,2.2 ,3.4 ,6.3 ,13.0 ,20.2 ,40.1 ,60.2 ,89.4 ,107.7 ,132.1 
胆嚢・胆管,C23-C24,男女計,1993,12.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,0.6 ,2.1 ,3.5 ,5.9 ,13.4 ,19.9 ,40.9 ,60.2 ,84.5 ,111.2 ,133.2 
胆嚢・胆管,C23-C24,男女計,1994,12.5 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,0.6 ,1.8 ,3.3 ,6.6 ,12.5 ,20.1 ,38.3 ,59.4 ,79.9 ,108.8 ,134.8 
胆嚢・胆管,C23-C24,男女計,1995,12.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.2 ,0.8 ,1.4 ,3.2 ,5.7 ,10.8 ,19.2 ,35.5 ,55.1 ,79.9 ,115.7 ,158.3 
胆嚢・胆管,C23-C24,男女計,1996,13.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.2 ,0.7 ,1.3 ,3.4 ,5.1 ,11.1 ,19.4 ,33.7 ,52.8 ,80.6 ,117.2 ,158.0 
胆嚢・胆管,C23-C24,男女計,1997,13.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.0 ,0.6 ,1.3 ,3.2 ,5.0 ,11.5 ,19.8 ,33.9 ,51.2 ,78.6 ,118.5 ,158.1 
胆嚢・胆管,C23-C24,男女計,1998,13.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.6 ,1.2 ,2.9 ,4.5 ,11.7 ,20.2 ,33.0 ,52.7 ,78.5 ,118.7 ,158.2 
胆嚢・胆管,C23-C24,男女計,1999,13.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.7 ,0.9 ,2.5 ,4.7 ,10.7 ,18.6 ,32.5 ,49.8 ,79.2 ,114.7 ,156.3 
胆嚢・胆管,C23-C24,男女計,2000,13.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.5 ,1.0 ,2.5 ,5.0 ,9.7 ,18.1 ,29.2 ,46.5 ,74.0 ,109.6 ,150.5 
胆嚢・胆管,C23-C24,男女計,2001,14.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.3 ,1.0 ,2.4 ,6.4 ,9.9 ,18.4 ,29.3 ,46.7 ,77.1 ,101.1 ,142.1 
胆嚢・胆管,C23-C24,男女計,2002,14.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,1.1 ,2.3 ,5.5 ,9.3 ,17.1 ,25.9 ,43.8 ,68.3 ,109.0 ,153.4 
胆嚢・胆管,C23-C24,男女計,2003,14.9 ,0.0 ,0.0 ,0.0 ,0.1 ,0.0 ,0.0 ,0.1 ,0.3 ,1.3 ,2.4 ,5.2 ,8.1 ,17.2 ,27.4 ,43.4 ,70.6 ,116.7 ,158.1 
胆嚢・胆管,C23-C24,男女計,2004,15.4 ,0.0 ,0.0 ,0.1 ,0.0 ,0.0 ,0.0 ,0.3 ,0.6 ,0.8 ,2.7 ,5.8 ,8.6 ,15.7 ,30.6 ,45.7 ,69.3 ,108.7 ,159.2 
胆嚢・胆管,C23-C24,男女計,2005,14.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.0 ,0.1 ,0.7 ,0.7 ,1.9 ,5.6 ,7.2 ,16.3 ,27.5 ,42.3 ,65.8 ,101.6 ,134.9 
胆嚢・胆管,C23-C24,男女計,2006,15.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.0 ,0.6 ,0.4 ,2.2 ,4.5 ,8.5 ,16.3 ,27.0 ,46.7 ,69.5 ,98.4 ,148.4 
胆嚢・胆管,C23-C24,男女計,2007,16.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.4 ,0.9 ,2.5 ,5.2 ,9.8 ,15.2 ,27.6 ,45.8 ,68.9 ,95.8 ,147.0 
胆嚢・胆管,C23-C24,男女計,2008,17.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.4 ,0.9 ,2.4 ,5.1 ,9.6 ,15.3 ,27.5 ,46.5 ,69.1 ,101.7 ,149.9 
胆嚢・胆管,C23-C24,男女計,2009,17.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,0.2 ,1.1 ,2.6 ,5.1 ,10.2 ,16.0 ,29.8 ,46.8 ,70.9 ,100.7 ,147.3 
胆嚢・胆管,C23-C24,男女計,2010,17.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.3 ,0.4 ,0.7 ,2.1 ,4.6 ,9.6 ,16.7 ,28.9 ,44.0 ,66.0 ,98.4 ,154.3 
胆嚢・胆管,C23-C24,男女計,2011,18.5 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.5 ,1.0 ,1.6 ,5.6 ,9.4 ,17.4 ,27.9 ,45.4 ,68.7 ,101.3 ,148.5 
胆嚢・胆管,C23-C24,男,1975,4.0 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.1 ,0.3 ,0.6 ,1.1 ,2.4 ,6.4 ,8.6 ,16.9 ,24.7 ,37.1 ,37.0 ,68.6 ,36.7 
胆嚢・胆管,C23-C24,男,1976,4.3 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.2 ,0.2 ,1.0 ,0.7 ,2.3 ,7.4 ,9.7 ,16.4 ,21.8 ,38.7 ,52.9 ,71.2 ,38.9 
胆嚢・胆管,C23-C24,男,1977,4.7 ,0.1 ,0.1 ,0.1 ,0.2 ,0.1 ,0.2 ,0.3 ,1.2 ,0.8 ,3.4 ,6.2 ,11.9 ,20.7 ,22.9 ,37.9 ,48.3 ,74.5 ,37.7 
胆嚢・胆管,C23-C24,男,1978,4.8 ,0.1 ,0.1 ,0.1 ,0.2 ,0.1 ,0.2 ,0.2 ,1.1 ,1.0 ,3.5 ,5.2 ,9.6 ,20.9 ,23.6 ,47.4 ,50.4 ,49.1 ,42.6 
胆嚢・胆管,C23-C24,男,1979,5.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.3 ,0.3 ,0.9 ,0.9 ,3.7 ,4.8 ,10.2 ,20.6 ,26.6 ,49.1 ,56.0 ,52.8 ,46.9 
胆嚢・胆管,C23-C24,男,1980,5.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.1 ,0.7 ,0.9 ,3.0 ,5.8 ,12.2 ,19.8 ,29.0 ,51.7 ,69.3 ,64.9 ,48.8 
胆嚢・胆管,C23-C24,男,1981,5.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.1 ,0.4 ,1.1 ,3.1 ,6.3 ,12.0 ,18.4 ,32.6 ,48.8 ,74.8 ,72.4 ,53.0 
胆嚢・胆管,C23-C24,男,1982,6.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,1.5 ,3.7 ,6.2 ,11.7 ,19.3 ,33.5 ,53.8 ,69.0 ,89.0 ,76.1 
胆嚢・胆管,C23-C24,男,1983,7.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.3 ,2.1 ,4.7 ,5.9 ,10.8 ,18.3 ,42.3 ,60.2 ,67.8 ,89.6 ,93.6 
胆嚢・胆管,C23-C24,男,1984,7.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.0 ,0.5 ,0.6 ,2.0 ,4.8 ,6.0 ,12.2 ,18.4 ,42.1 ,54.0 ,73.1 ,99.6 ,106.4 
胆嚢・胆管,C23-C24,男,1985,8.2 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.0 ,0.3 ,0.6 ,2.5 ,4.3 ,6.2 ,12.1 ,22.3 ,45.0 ,59.5 ,80.6 ,98.8 ,114.9 
胆嚢・胆管,C23-C24,男,1986,8.8 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.0 ,0.3 ,0.7 ,2.4 ,4.0 ,6.7 ,13.0 ,24.5 ,42.1 ,60.9 ,94.2 ,105.1 ,107.2 
胆嚢・胆管,C23-C24,男,1987,9.2 ,0.0 ,0.0 ,0.0 ,0.2 ,0.1 ,0.0 ,0.3 ,0.7 ,2.0 ,3.9 ,6.3 ,12.5 ,24.4 ,40.7 ,65.4 ,100.1 ,111.0 ,112.3 
胆嚢・胆管,C23-C24,男,1988,9.3 ,0.0 ,0.0 ,0.0 ,0.2 ,0.2 ,0.0 ,0.3 ,1.1 ,1.7 ,3.7 ,6.8 ,12.5 ,23.1 ,38.1 ,64.0 ,95.5 ,115.3 ,116.7 
胆嚢・胆管,C23-C24,男,1989,9.8 ,0.0 ,0.0 ,0.0 ,0.2 ,0.0 ,0.0 ,0.4 ,1.0 ,1.5 ,3.3 ,7.0 ,13.5 ,23.6 ,39.1 ,64.2 ,94.4 ,120.5 ,129.0 
胆嚢・胆管,C23-C24,男,1990,9.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.8 ,1.8 ,3.0 ,6.4 ,13.9 ,22.0 ,40.7 ,62.2 ,84.6 ,101.4 ,132.8 
胆嚢・胆管,C23-C24,男,1991,10.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.6 ,2.0 ,2.8 ,6.1 ,14.0 ,23.4 ,42.4 ,64.3 ,96.2 ,101.9 ,134.3 
胆嚢・胆管,C23-C24,男,1992,10.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.3 ,0.6 ,2.5 ,3.2 ,6.6 ,13.9 ,22.1 ,42.6 ,64.5 ,99.4 ,100.4 ,133.1 
胆嚢・胆管,C23-C24,男,1993,11.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.5 ,2.5 ,3.1 ,6.2 ,15.3 ,22.6 ,45.3 ,68.6 ,95.1 ,110.0 ,131.4 
胆嚢・胆管,C23-C24,男,1994,11.5 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.5 ,0.5 ,2.1 ,3.2 ,6.9 ,14.5 ,22.9 ,43.6 ,66.8 ,89.5 ,114.2 ,131.9 
胆嚢・胆管,C23-C24,男,1995,11.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.7 ,1.7 ,3.0 ,6.1 ,11.5 ,21.1 ,40.5 ,62.3 ,93.5 ,127.0 ,182.0 
胆嚢・胆管,C23-C24,男,1996,12.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.7 ,1.2 ,3.6 ,5.5 ,11.9 ,20.4 ,37.5 ,59.3 ,94.8 ,131.7 ,181.0 
胆嚢・胆管,C23-C24,男,1997,12.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.7 ,1.5 ,3.4 ,5.8 ,12.6 ,21.2 ,39.6 ,58.3 ,90.0 ,142.2 ,187.7 
胆嚢・胆管,C23-C24,男,1998,12.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.6 ,1.3 ,3.0 ,5.3 ,12.4 ,21.1 ,37.7 ,59.8 ,89.8 ,137.6 ,187.4 
胆嚢・胆管,C23-C24,男,1999,13.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.8 ,1.1 ,2.3 ,5.8 ,11.5 ,20.3 ,38.7 ,59.7 ,93.4 ,133.6 ,180.0 
胆嚢・胆管,C23-C24,男,2000,13.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.6 ,0.8 ,2.7 ,5.7 ,10.5 ,20.5 ,33.2 ,56.9 ,88.3 ,124.8 ,174.3 
胆嚢・胆管,C23-C24,男,2001,13.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.4 ,0.5 ,2.9 ,8.0 ,10.6 ,21.3 ,33.2 ,57.2 ,86.4 ,115.6 ,156.7 
胆嚢・胆管,C23-C24,男,2002,13.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.9 ,3.1 ,6.6 ,10.6 ,20.9 ,30.6 ,54.0 ,78.5 ,131.8 ,178.6 
胆嚢・胆管,C23-C24,男,2003,14.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.5 ,1.4 ,2.0 ,5.9 ,9.1 ,20.4 ,32.4 ,51.2 ,82.3 ,138.4 ,175.2 
胆嚢・胆管,C23-C24,男,2004,14.8 ,0.0 ,0.0 ,0.1 ,0.0 ,0.0 ,0.1 ,0.6 ,0.9 ,0.8 ,3.1 ,6.3 ,9.4 ,17.5 ,36.7 ,56.5 ,80.1 ,128.1 ,181.8 
胆嚢・胆管,C23-C24,男,2005,14.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.3 ,0.0 ,0.0 ,0.9 ,0.6 ,2.0 ,6.4 ,9.5 ,21.1 ,35.0 ,50.7 ,84.6 ,121.1 ,156.9 
胆嚢・胆管,C23-C24,男,2006,15.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.4 ,0.0 ,0.8 ,0.7 ,1.8 ,5.4 ,10.1 ,19.5 ,32.1 ,54.4 ,88.2 ,115.1 ,183.9 
胆嚢・胆管,C23-C24,男,2007,15.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.3 ,0.9 ,3.2 ,6.1 ,11.6 ,17.7 ,33.5 ,56.3 ,84.0 ,109.0 ,162.4 
胆嚢・胆管,C23-C24,男,2008,17.6 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.5 ,1.0 ,3.1 ,5.6 ,12.0 ,19.9 ,34.1 ,59.5 ,88.3 ,125.4 ,180.9 
胆嚢・胆管,C23-C24,男,2009,18.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.3 ,0.1 ,0.3 ,0.2 ,0.9 ,3.1 ,6.0 ,12.3 ,18.7 ,37.2 ,59.5 ,89.6 ,131.4 ,172.1 
胆嚢・胆管,C23-C24,男,2010,18.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.4 ,0.5 ,0.8 ,2.8 ,5.3 ,11.2 ,21.4 ,36.9 ,57.6 ,83.1 ,121.6 ,182.7 
胆嚢・胆管,C23-C24,男,2011,19.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.6 ,1.1 ,2.1 ,6.4 ,12.3 ,22.7 ,36.2 ,59.9 ,88.1 ,135.2 ,178.4 
胆嚢・胆管,C23-C24,女,1975,5.5 ,0.2 ,0.5 ,0.2 ,0.3 ,0.2 ,0.2 ,0.5 ,0.7 ,1.7 ,4.2 ,6.8 ,9.7 ,14.8 ,28.0 ,43.1 ,50.3 ,50.3 ,32.1 
胆嚢・胆管,C23-C24,女,1976,5.7 ,0.1 ,0.4 ,0.2 ,0.2 ,0.1 ,0.3 ,0.5 ,0.8 ,1.7 ,4.8 ,7.8 ,9.4 ,15.1 ,30.9 ,41.4 ,46.9 ,50.5 ,35.7 
胆嚢・胆管,C23-C24,女,1977,6.0 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.3 ,0.2 ,0.4 ,1.5 ,6.0 ,8.2 ,10.4 ,14.8 ,29.6 ,42.5 ,50.9 ,40.2 ,52.4 
胆嚢・胆管,C23-C24,女,1978,6.3 ,0.1 ,0.1 ,0.1 ,0.2 ,0.3 ,0.5 ,0.1 ,0.4 ,1.5 ,5.3 ,7.6 ,13.1 ,16.8 ,31.2 ,38.3 ,57.2 ,39.2 ,48.6 
胆嚢・胆管,C23-C24,女,1979,6.7 ,0.1 ,0.3 ,0.1 ,0.2 ,0.3 ,0.3 ,0.1 ,0.2 ,1.2 ,4.4 ,7.0 ,14.1 ,20.4 ,26.5 ,43.4 ,64.5 ,43.9 ,53.7 
胆嚢・胆管,C23-C24,女,1980,7.6 ,0.0 ,0.1 ,0.0 ,0.0 ,0.1 ,0.5 ,0.1 ,0.5 ,1.6 ,4.1 ,5.7 ,16.2 ,23.9 ,29.3 ,54.6 ,64.1 ,57.4 ,48.4 
胆嚢・胆管,C23-C24,女,1981,8.4 ,0.0 ,0.1 ,0.0 ,0.0 ,0.0 ,0.4 ,0.1 ,1.0 ,1.5 ,3.8 ,6.5 ,14.3 ,23.9 ,33.5 ,60.6 ,71.8 ,71.3 ,54.4 
胆嚢・胆管,C23-C24,女,1982,8.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.5 ,0.3 ,1.1 ,1.7 ,3.9 ,8.0 ,13.7 ,21.1 ,37.1 ,59.1 ,70.1 ,86.6 ,54.6 
胆嚢・胆管,C23-C24,女,1983,9.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.3 ,1.0 ,2.3 ,4.3 ,9.3 ,13.9 ,22.4 ,39.9 ,62.5 ,71.1 ,93.9 ,65.4 
胆嚢・胆管,C23-C24,女,1984,10.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.3 ,0.7 ,3.0 ,3.4 ,9.6 ,14.9 ,21.8 ,40.0 ,56.9 ,72.4 ,96.2 ,81.2 
胆嚢・胆管,C23-C24,女,1985,11.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.3 ,0.1 ,0.6 ,0.6 ,2.8 ,3.9 ,7.7 ,15.3 ,24.7 ,37.9 ,57.6 ,92.0 ,103.4 ,94.5 
胆嚢・胆管,C23-C24,女,1986,11.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.4 ,1.0 ,2.3 ,3.8 ,5.9 ,15.3 ,24.2 ,37.8 ,54.8 ,85.6 ,109.9 ,95.3 
胆嚢・胆管,C23-C24,女,1987,12.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.4 ,1.3 ,1.8 ,4.6 ,8.7 ,13.6 ,26.3 ,35.8 ,65.2 ,85.1 ,116.6 ,103.5 
胆嚢・胆管,C23-C24,女,1988,12.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.4 ,1.5 ,1.6 ,4.2 ,9.4 ,13.5 ,24.7 ,36.1 ,62.9 ,80.0 ,109.8 ,116.9 
胆嚢・胆管,C23-C24,女,1989,12.6 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.6 ,1.3 ,1.5 ,3.8 ,8.5 ,12.7 ,22.2 ,37.5 ,60.5 ,81.8 ,108.1 ,128.7 
胆嚢・胆管,C23-C24,女,1990,12.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.3 ,0.9 ,1.8 ,3.3 ,6.6 ,12.5 ,21.5 ,38.8 ,55.6 ,84.3 ,105.8 ,131.8 
胆嚢・胆管,C23-C24,女,1991,13.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.2 ,0.8 ,1.5 ,4.0 ,6.1 ,12.0 ,19.6 ,40.5 ,54.8 ,85.6 ,115.2 ,136.9 
